"GBSid","PH","LW","FT"
2334,211.4,31.76,56
4476,115.8,21.8,58
4179,119.1,39.25,48
2493,122,23.6,NA
1141,115,16.8,47
6010,163.65,31.02,45
269,169,37.2,49
3832,124,25.5,60
4752,163.1,27.95,81
77,94.5,29.8,65
1614,152.2,39.6,48
30,147.8,29.73,61
4705,139.9,33.48,45
3912,151,39,61
4777,138.54,28.13,74
4785,134.1,20.55,65
4077,160.7,26.9,64
2082,166.44,38.26,50
847,172.2,14.79487179,75
1496,146.4,33.02,59
479,239.06,25.1,74
694,108,19,77
5205,160.32,29.8,61
4436,183.7,42.7,77
3054,178.02,31.3,59
4127,163.6,22.5,47
4992,150.352,23.87,60
8,178.8,31.4,59
3363,135,31.9,47
534,156.6,26.75,56
3076,174,35.7,60
1454,175.8,30.2,75
3701,200.8,27.8,59
2059,144.6,27.52,66
3610,120,28,66
3948,192.6,37,54
4435,155.7,28.4,62
1229,118,20.1,56
1648,147.9,27.6,54
2485,174,29.6,73
3100,145.4,26.44,70
2524,143.7,26.7,57
1927,176.2,24.7,64
446,141.8,24.9,63
1790,115.2,32.08,45
5601,147.1,29.2,68
1042,187,37.76,62
3831,183.2,15.32,51
2234,150,33.9,67
1522,146.6,29.2,58
2445,161.6,29,60
562,84.6,28.8,60
5991,162.5,27.6,44
4577,155.73,28.25,66
4466,159.2,26.5,68
4394,156.3,38.15,84
5322,131.2,24.15,60
221,169,27.2,45
1751,89,17.4,51
2597,169.8,29,89
2166,138.4666667,32.12,55
2725,139.82,30.8,77
4065,123.2,27.1,51
589,174.4,25,78
1135,135.3,24.7,57
3580,231.8,32.02,65
1784,90,14.8,47
5475,112.7,36.68,36
513,181.8,32.4,64
2355,166.27,36.51,68
3609,142.47,30.11,68
3837,150.8,22.7,52
3922,154,22.9,61
1625,118.5,12.27777778,57
3194,157.6,37,43
2245,173,28.12,56
5411,170,25,67
4694,195.8,27.1,71
1514,129.6,24.38,38
666,106.5,23.9,39
1605,104,29.1,46
2041,139.92,34.6,66
4086,143.67,29.02,64
5572,141.8,27.2,80
839,177.8,14.2,57
5380,170,27.7,60
3118,163.6,38.56,50
1180,136.3,13.6,68
4936,132,24.47,61
2940,110.65,26.5,48
115,207,39.5,63
1768,102.4,21.8,66
2459,145.4,32.3,61
1856,215,25.88,77
1127,121.03,27.04,44
2023,150.24,28.06,61
4118,134.3,19.3,56
1548,142.2,32,51
352,133.2,22.8,62
4663,135.6,24.3,52
1510,134.248,33.06,50
4289,135.7,19.05,67
5937,166.8,26.2,58
1932,197.8,30.6,63
2976,90.51,32.01,42
3168,147.6,35.28,50
5657,90.2,17.4,57
5600,168.8,28.9,63
5665,211.4,27.5,70
2782,104.8,15.5,40
3981,160,28.4,63
2497,191.8,34.16,70
3212,131,35.4,44
4960,137.93,35.2,68
2519,215.4,41.85,56
4397,162.6,20.87,59
2701,169,27,64
5456,125.5,24.95,35
1862,194.8,34.4,65
2304,176.2,28.7,53
2016,136.5,28.38,70
1786,86,14.4,51
494,183.6,26,72
1288,152.8,25.9,55
1958,175.2,27.5,59
2842,127,23.8,68
857,160.4,22.7,56
62,146.8,35.4,66
245,201.2,40,54
1759,96,20.6,51
439,154.7,29,63
2010,153.3,35.34,63
3834,174.4,14.56,57
3722,158.6,30.3,64
5982,176.7,20,41
1017,178.27,33.45720259,60
4095,180,38.16,62
2950,108.8,24.87,65
149,170.8,28.2,53
2722,110,17.7,64
3942,163.6,31,64
5099,145.5,33.3,77
1744,90,16.8,59
1698,112,26.8,54
2986,165.38,27.25,51
2080,208.98,36.74,55
1641,136.4,38.4,44
4789,146.87,27.47,75
3794,211,25.78947368,60
3350,122.4,26.6,46
204,156.2,30,54
1609,103.2,37.2,63
2076,163.4,29.1,68
555,154.7,36.8,77
1198,117.49,14.8,64
1000,145.8,28.8,48
4895,114.47,24.73,53
2022,142,14.66,65
645,145.1,23.1,49
3964,151,23.6,64
3494,201.4,30,55
3252,179.8,17.33333333,69
5462,140.2,37.69,32
2042,130,30.1,58
3767,172,28.8,60
3804,134.2,25.28,54
3709,193.6,25.1,68
3169,149,36.44,50
5185,138.2,28.6,47
2259,190.5,35.64,67
5207,170.97,37.8,73
1816,72.2,9.6,NA
4859,135.6,18.4,63
2258,176.4,24.2,60
567,142.4,17.7,37
1781,84,18.4,51
4803,136.8,21.47,59
2874,121.7,24.1,41
711,141.3,20.1,53
3920,146,32,61
4519,158.5,23.2,60
1521,130.8,29.56,48
1122,160.2,36.68888889,62
1500,116.4,22.7,31
4410,182.1,37.4,71
5047,130.47,19.67,63
1976,167.4,24.4,60
3113,136,37.24,49
20,129,24.8,51
5722,135.6666667,21.26666667,57
301,216.6,22,55
2773,122,22,61
6019,160.15,23.62,43
144,146.7,32.8,59
1853,137.9,32.65,58
2764,81,18.4,67
1393,179.1,32.2,60
3755,176.2,25.8,65
3735,156.2,28.44,59
3827,165.2,24.24,59
5486,134,23,79
3360,190.2,26.7,49
5042,145.47,26.73,59
1296,161.4,32.68,71
1419,233.6,31.3,77
5287,141.4,29.82,63
1902,160,15,54
2265,147,29.2,58
4266,109.2,28.2,55
3390,126.5,23.56,57
3978,203.78,37.82,60
4572,158.2,25,64
4865,157.2,24.5,65
3259,128.8,36.2,55
324,105,28.6,54
1838,87.54,20.6,41
634,145.5,25.8,59
5436,114.75,39.73,42
1872,204,26.6,59
3806,179.6,21.96,63
1903,157.4,26.18,43
3972,182,32.6,68
1300,154.4,22.66,68
3290,197.6,28.8,56
626,144.6,21.7,58
2148,146,31,58
5183,137,15,58
32,119.3333333,36.26666667,57
5964,192,22.05,58
2090,127.9,31.86,52
2881,110,20,46
1291,163,19.86,62
1807,103.4,20.5,70
1688,146,22.2,62
25,133.2,26.9,58
4480,160.9,28.77,62
4239,91,31.8,85
6057,130,13.6,35
2296,157.3,34.3,61
1001,217.2,37,63
6011,157.65,21.46,46
5976,165.2,20.35,43
2727,106,23.6,80
747,129,21.5,57
2747,120,24,63
2143,111,13.5,77
1913,160,20,66
4297,173.73,36.96,74
3312,207,29.6,53
3792,164.4,29.5,60
4641,130.8,27.6,62
3758,180,31.6,71
1620,115.4,31.4,46
2765,86,12,39
